date,number
2023-06-03,202639
2023-06-04,203273
2023-06-05,204015
2023-06-06,204876
2023-06-07,205738
2023-06-08,206582
2023-06-09,207523
2023-06-10,208253
2023-06-11,208824
2023-06-12,209630
2023-06-13,210386
2023-06-14,211183
2023-06-15,211968
2023-06-16,212676
2023-06-17,213196
2023-06-18,213907
2023-06-19,214752
2023-06-20,215765
2023-06-21,216668
2023-06-22,217487
2023-06-23,218307
2023-06-24,219017
2023-06-25,219681
2023-06-26,220641
2023-06-27,221673
2023-06-28,222659
2023-06-29,223568
2023-06-30,224378
2023-07-01,225047
2023-07-02,225739
2023-07-03,226641
2023-07-04,227661
2023-07-05,228546
2023-07-06,229553
2023-07-07,230577
2023-07-08,231417
2023-07-09,232165
2023-07-10,233133
2023-07-11,234134
2023-07-12,235066
2023-07-13,236156
2023-07-14,237237
2023-07-15,237946
2023-07-16,239114
2023-07-17,240163
2023-07-18,241254
2023-07-19,242278
2023-07-20,243330
2023-07-21,244325
2023-07-22,245045
2023-07-23,245817
2023-07-24,247027
2023-07-25,248019
2023-07-26,249047
2023-07-27,250231
2023-07-28,251168
2023-07-29,252110
2023-07-30,253122
2023-07-31,254439
2023-08-01,255848
2023-08-02,257060
2023-08-03,258257
2023-08-04,259444
2023-08-05,260316
2023-08-06,261387
2023-08-07,262720
2023-08-08,264057
2023-08-09,265347
2023-08-10,266581
2023-08-11,267633
2023-08-12,268449
2023-08-13,269822
2023-08-14,270964
2023-08-15,272062
2023-08-16,273217
2023-08-17,274370
2023-08-18,275636
2023-08-19,276514
2023-08-20,277523
2023-08-21,278793
2023-08-22,279957
2023-08-23,281232
2023-08-24,282357
2023-08-25,283485
2023-08-26,284461
2023-08-27,285417
2023-08-28,286643
2023-08-29,287919
2023-08-30,289109
2023-08-31,290317
2023-09-01,292333
2023-09-02,293290
2023-09-03,294145
2023-09-04,295301
2023-09-05,296570
2023-09-06,297526
2023-09-07,298602
2023-09-08,299427
2023-09-09,300239
2023-09-10,301012
2023-09-11,302047
2023-09-12,303114
2023-09-13,304237
2023-09-14,305671
2023-09-15,306506
2023-09-16,307365
2023-09-17,308144
2023-09-18,309102
2023-09-19,310254
2023-09-20,311362
2023-09-21,312442
2023-09-22,313333
2023-09-23,314064
2023-09-24,314909
2023-09-25,315877
2023-09-26,316881
2023-09-27,317937
2023-09-28,319004
2023-09-29,319865
2023-09-30,320565
2023-10-01,321259
2023-10-02,322171
2023-10-03,323104
2023-10-04,324100
2023-10-05,325047
2023-10-06,326000
2023-10-07,326718
2023-10-08,327544
2023-10-09,328649
2023-10-10,329609
2023-10-11,330659
2023-10-12,331676
2023-10-13,332710
2023-10-14,333444
2023-10-15,334255
2023-10-16,335278
2023-10-17,336496
2023-10-18,337796
2023-10-19,339081
2023-10-20,340070
2023-10-21,340897
2023-10-22,341827
2023-10-23,343232
2023-10-24,344404
2023-10-25,345695
2023-10-26,346842
2023-10-27,348065
2023-10-28,348950
2023-10-29,349765
2023-10-30,350789
2023-10-31,351863
2023-11-01,352973
2023-11-02,354116
2023-11-03,355218
2023-11-04,356040
2023-11-05,356902
2023-11-06,357975
2023-11-07,359124
2023-11-08,360171
2023-11-09,361231
2023-11-10,362367
2023-11-11,363531
2023-11-12,364610
2023-11-13,365802
2023-11-14,366998
2023-11-15,368391
2023-11-16,369767
2023-11-17,371134
2023-11-18,372427
2023-11-19,373594
2023-11-20,374823
2023-11-21,376152
2023-11-22,377568
2023-11-23,379039
2023-11-24,380304
2023-11-25,381453
2023-11-26,382593
2023-11-27,383890
2023-11-28,385315
2023-11-29,386676
2023-11-30,388312
2023-12-01,389513
2023-12-02,390472
2023-12-03,391671
2023-12-04,393256
2023-12-05,394630
2023-12-06,395886
2023-12-07,397154
2023-12-08,398222
2023-12-09,399260
2023-12-10,400352
2023-12-11,401667
2023-12-12,402991
2023-12-13,404196
2023-12-14,405536
2023-12-15,406854
2023-12-16,407640
2023-12-17,408547
2023-12-18,409571
2023-12-19,410818
2023-12-20,412191
2023-12-21,413357
2023-12-22,414447
2023-12-23,415395
2023-12-24,416330
2023-12-25,417380
2023-12-26,418442
2023-12-27,419425
2023-12-28,420495
2023-12-29,421433
2023-12-30,422142
2023-12-31,422873
2024-01-01,423592
2024-01-02,424783
2024-01-03,425941
2024-01-04,427134
2024-01-05,428139
2024-01-06,429036
2024-01-07,430107
2024-01-08,431270
2024-01-09,432374
2024-01-10,433715
2024-01-11,435066
2024-01-12,436468
2024-01-13,437397
2024-01-14,438491
2024-01-15,439656
2024-01-16,441299
2024-01-17,442761
2024-01-18,444250
2024-01-19,445556
2024-01-20,446532
2024-01-21,447702
2024-01-22,448956
2024-01-23,450282
2024-01-24,451685
2024-01-25,453053
2024-01-26,454337
2024-01-27,455592
2024-01-28,456791
2024-01-29,458191
2024-01-30,459462
2024-01-31,460788
2024-02-01,462088
2024-02-02,463336
2024-02-03,464428
2024-02-04,465555
2024-02-05,467015
2024-02-06,468464
2024-02-07,469836
