code,x,y,z,color,node
A01F,0.539678665552907,1.69328657555201,0.364765641613518,#448AFF,A01F (PROCESSING OF HARVESTED PRODUCE; HAY OR STRAW PRESSES; DEVICES FOR STORING AGRICULTURAL OR HORTICULTURAL PRODUCE)
A01F1,0.091764139052515,0.356651097942588,0.226894101611598,#448AFF,"A01F1 (Stationary apparatus or hand tools for forming or binding straw, hay or the like into bundles)"
A01F11,0.334495193933618,1.37340130398855,0.353724638607891,#448AFF,A01F11 (Threshing apparatus specially adapted for maize; Threshing apparatus specially adapted for particular crops other than cereals)
A01F12,0.510879094743473,1.62209016571582,0.361175966620948,#448AFF,A01F12 (Parts or details of threshing apparatus)
A01F13,-0.0698673771877696,-0.203257240065755,-0.361111303917024,#448AFF,A01F13 (Hand-operated baling apparatus)
A01F15,0.542839123327554,1.6526010158153,0.355878745896703,#448AFF,"A01F15 (Baling presses for straw, hay or the like)"
A01F17,0.49196521595705,1.54526681183808,0.342541289350155,#448AFF,A01F17 (Straw conveyors for threshing machines or baling presses)
A01F2009,0.0302363223136305,0.317919409538009,0.0889125729299424,#448AFF,A01F2009 (Threshing machines with flails; Threshing devices with flails for combines)
A01F21,0.276788008181971,0.784683689888155,0.201404270377669,#448AFF,A01F21 (Devices for protecting human beings for threshing machines or baling presses)
A01F25,0.60124636315564,1.68772039014044,0.309286789527909,#448AFF,A01F25 (Storing agricultural or horticultural produce; Hanging-up harvested fruit)
A01F29,0.522185732335218,1.66838783347085,0.363966321989534,#448AFF,"A01F29 (Cutting apparatus specially adapted for cutting hay, straw or the like)"
A01F7,0.520477065380848,1.63736068077757,0.374222019585235,#448AFF,A01F7 (Threshing apparatus)
A01G,-0.37424835963201,1.4449048718513,-0.27011573251914,#448AFF,"A01G (HORTICULTURE; CULTIVATION OF VEGETABLES, FLOWERS, RICE, FRUIT, VINES, HOPS OR SEAWEED; FORESTRY; WATERING)"
A01G11,0.0054302321815674,1.70993197407155,0.256137101136067,#448AFF,A01G11 (Sterilising soil by steam)
A01G13,-0.346712282223246,1.46140825381381,-0.24161084900111,#448AFF,A01G13 (Protection of plants)
A01G15,-0.451405817993474,-0.855231499111511,-0.698344743358515,#448AFF,A01G15 (Devices or methods for influencing weather conditions)
A01G17,-0.369782075486479,1.43788169386653,-0.273479981111872,#448AFF,"A01G17 (Cultivation of hops, vines, fruit trees, or like trees)"
A01G18,-0.396816370819562,1.34356125518402,-0.332586375312405,#448AFF,A01G18 (Cultivation of mushrooms)
A01G2,-0.411421683339326,1.4273164746324,-0.295992556312965,#448AFF,A01G2 (Vegetative propagation)
A01G20,-0.19816880480682,1.31460027836388,-0.260676759826804,#448AFF,"A01G20 (Cultivation of turf, lawn or the like; Apparatus or methods therefor)"
A01G2025,-0.195917505525741,0.838286644697002,-0.0864721041572432,#448AFF,
A01G2031,-0.395924476409143,1.49894751315137,-0.275311162070719,#448AFF,
A01G22,-0.352463314581408,1.41346464323509,-0.251667763248105,#448AFF,A01G22 (Cultivation of specific crops or plants not otherwise provided for)
A01G23,0.989140890175756,-1.16819770085078,-0.228015590970759,#448AFF,A01G23 (Forestry)
A01G24,-0.44272208871558,1.41036317754286,-0.298043183616342,#448AFF,A01G24 (Growth substrates; Culture media; Apparatus or methods therefor)
A01G25,-0.318152461055642,1.55139791154536,-0.232513963334181,#448AFF,"A01G25 (Watering gardens, fields, sports grounds or the like)"
A01G27,-0.395812496514811,1.52138159068047,-0.283815233364401,#448AFF,"A01G27 (Self-acting watering devices, e.g. for flower-pots)"
A01G29,-0.289569456207291,1.57357296497062,-0.195984313787617,#448AFF,A01G29 (Root feeders; Injecting fertilisers into the roots)
